HID,"Lat,Lng"
HID422,"15.3207155,73.9022469"
HID423,"15.3885778793,73.8498772401"
HID424,"15.2613684459,73.9283912101"
HID425,"15.565527834,73.749577637"
HID426,"15.5452350385,73.7605513141"
HID427,"15.6192249398,73.7631208703"
HID428,"15.4569384166,73.8038260743"
HID429,"15.5483979815,73.7576337604"
HID430,"15.541667,73.761944"
HID431,"15.3207155,73.9022469"
HID432,"15.3885778793,73.8498772401"
HID433,"15.2613684459,73.9283912101"
HID434,"15.565527834,73.749577637"
HID435,"15.5452350385,73.7605513141"
HID436,"15.6192249398,73.7631208703"
HID437,"15.4569384166,73.8038260743"
HID438,"15.5364236,73.7645174"
HID439,"15.5364236,73.7645174"
HID440,"15.5364236,73.7645174"
HID441,"15.5364236,73.7645174"
HID442,"15.6494609052,73.8205490962"
HID443,"15.0453327347,73.9855752185"
HID444,"15.5513489084,73.7550957009"
HID445,"15.5980556,73.7447222"
HID446,"15.6579376994,73.7126631543"
HID447,"15.6494609052,73.8205490962"
HID448,"15.0453327347,73.9855752185"
HID449,"15.5513489084,73.7550957009"
HID450,"15.5980556,73.7447222"
HID451,"15.6579376994,73.7126631543"
HID452,"15.6494609052,73.8205490962"
HID453,"15.0453327347,73.9855752185"
HID454,"15.5513489084,73.7550957009"
HID455,"15.5980556,73.7447222"
HID456,"15.6579376994,73.7126631543"
HID457,"15.6494609052,73.8205490962"
HID458,"15.0453327347,73.9855752185"
HID459,"15.5513489084,73.7550957009"
HID460,"15.5980556,73.7447222"
HID461,"15.6579376994,73.7126631543"
HID462,"15.5945406935,73.7343353022"
HID463,"15.5945406935,73.7343353022"
HID464,"15.5945406935,73.7343353022"
HID465,"15.5945406935,73.7343353022"
HID466,"15.582884303,73.7398321841"
HID467,"15.6404677556,73.7209350869"
HID468,"15.5350821,73.7608402"
HID469,"15.5809248,73.7448437"
HID470,"15.6280702,73.7280873"
HID471,"15.582884303,73.7398321841"
HID472,"15.6404677556,73.7209350869"
HID473,"15.5350821,73.7608402"
HID474,"15.5809248,73.7448437"
HID475,"15.6280702,73.7280873"
HID476,"15.582884303,73.7398321841"
HID477,"15.6404677556,73.7209350869"
HID478,"15.5350821,73.7608402"
HID479,"15.5809248,73.7448437"
HID480,"15.6280702,73.7280873"
HID481,"15.582884303,73.7398321841"
HID482,"15.6404677556,73.7209350869"
HID483,"15.5350821,73.7608402"
HID484,"15.5809248,73.7448437"
HID485,"15.6280702,73.7280873"
HID486,"15.3970177326,73.8089646609"
HID487,"15.3970177326,73.8089646609"
HID488,"15.3970177326,73.8089646609"
HID489,"15.3970177326,73.8089646609"
HID490,"15.5455622,73.7591261"
HID491,"15.5455622,73.7591261"
HID492,"15.5455622,73.7591261"
HID493,"15.5455622,73.7591261"
HID494,"15.5577959245,73.7555543587"
HID495,"15.6776580358,73.7075240418"
HID496,"15.4955976532,73.8312869929"
HID497,"15.5577959245,73.7555543587"
HID498,"15.6776580358,73.7075240418"
HID499,"15.4955976532,73.8312869929"
HID500,"15.5577959245,73.7555543587"
HID501,"15.6776580358,73.7075240418"
HID502,"15.4955976532,73.8312869929"
HID503,"15.5577959245,73.7555543587"
HID504,"15.6776580358,73.7075240418"
HID505,"15.4955976532,73.8312869929"
HID506,"15.3729710373,73.8332704859"
HID507,"15.0455814,73.9888797"
HID508,"15.3729710373,73.8332704859"
HID509,"15.0455814,73.9888797"
HID510,"15.3729710373,73.8332704859"
HID511,"15.0455814,73.9888797"
HID512,"15.3729710373,73.8332704859"
HID513,"15.0455814,73.9888797"
HID514,"15.5408996,73.761342"
HID515,"15.2993265,74.123996"
HID516,"15.5408996,73.761342"
HID517,"15.2993265,74.123996"
HID518,"15.5408996,73.761342"
HID519,"15.2993265,74.123996"
HID520,"15.5408996,73.761342"
HID521,"15.2993265,74.123996"
HID522,"15.4568591,73.8038889"
HID523,"15.2993265,74.123996"
HID524,"15.5451110021,73.7728519246"
